primary_title,start_year,directors,primary_name,category
"Helyfoglalás, avagy a mogyorók bejövetele",2000,nm0844476,"András Szöke",actor
Backroads,2000,nm0154870,"Shirley Cheechoo",actress
"Les déclassés",2001,nm0047568,"Tony Baillargeat",actor
"Trilogy: Three",2002,nm0069711,"Lucas Belvaux",actor
"On the Run",2002,nm0069711,"Lucas Belvaux",actor
"Lisa Picard Is Famous",2000,nm0001162,"Griffin Dunne",actor
"The Cross",2002,nm0127496,"Gino Cabanas",actor
"The Blood",2000,nm0543884,"David Zen Mansley",actor
"Eclipse Machine",2000,nm0496078,"Abe Lechner",actor
"Le glandeur",2000,nm0006620,"Jean-Pierre Mocky",actor
"Laissons Lucie faire!",2000,nm0609981,"Emmanuel Mouret",actor
"Counting Days",2000,nm0003894,"Brian Young",actor
"The Deserter",2003,nm1076079,"Eric Bruno Borgman",actor
"La nuit des Indiens",2000,nm0844063,"Georges Zsiga",actor
"God's Army",2000,nm0244756,"Richard Dutcher",actor
"Karl's in a Coma",2000,nm0386504,"Karl T. Hirsch",actor
"The Lonely Life of Downey Hall",2000,nm0152082,"Damian Chapa",actor
"Poste Restante Buenos Aires",2000,nm0702515,"Hubert Pöllmann",actor
Chrissy,2000,nm0636019,"Jacqui North",actress
"Keep Breathing",2000,nm0047300,"Jason Bailey",actor
"Marriage Prep",2000,nm0876274,"Donahue Tuitt",actor
"Sidewalks of New York",2001,nm0122653,"Edward Burns",actor
"Broken Cookies",2002,nm0001424,"Udo Kier",actor
"Kung Pow: Enter the Fist",2002,nm0644203,"Steve Oedekerk",actor
"Freddy Got Fingered",2001,nm0338381,"Tom Green",actor
"The Groom",2000,nm0194634,"Víctor Cárdenas",actor
"Sleeping in a Dream",2000,nm0004404,"Jerry D. O'Donnell",actor
"Roads and Bridges",2001,nm0510498,"Abraham Lim",actor
"Citizen James",2000,nm0234791,"Doug E. Doug",actor
"Le roman de Lulu",2001,nm0780014,"Pierre-Olivier Scotto",actor
"How It All Went Down",2003,nm0689605,"Silvio Pollio",actor
"The American Astronaut",2001,nm0563826,"Cory McAbee",actor
"Picasso Face",2000,nm0147592,"Massimo Ceccherini",actor
"Smell of Camphor, Fragrance of Jasmine",2000,nm0267715,"Bahman Farmanara",actor
"Men with Brooms",2002,nm0343472,"Paul Gross",actor
Haunted,2005,nm1093376,"Christian Pichler",actor
"The Scent of Harvest",2001,nm0014121,"Manoucher Ahmadi",actor
Joy,2002,nm1084391,"Jackie Alexander",actor
"Eine zauberhafte Ehe",2001,nm1141339,"Christiane Filla",actress
"Ankle Bracelet",2001,nm1201135,"William James Kennedy",actor
"The Room",2003,nm1382072,"Tommy Wiseau",actor
"To Be a Star",2003,nm0879246,"Arnon Zadok",actor
Malika,2003,nm0159262,"Pierre Chosson",actor
Akoibon,2005,nm0046347,"Edouard Baer",actor
"The Easter Egg Adventure",2004,nm1782949,"John Michael Williams",actor
"Am seidenen Faden",2005,nm1860634,"Katarina Peters",actress
Bruno,2007,nm1788069,"Sam Goetz",actor
"The Right of the Weakest",2006,nm0069711,"Lucas Belvaux",actor
Dava,2001,nm1855334,"Gani Savata",actor
"In Between",2005,nm0878597,"Deborah Twiss",actress
Interview,2007,nm0000114,"Steve Buscemi",actor
"Je me fais rare",2006,nm0220907,"Dante Desarthe",actor
"Cowboy Junction",2006,nm2297167,"Gregory Christian",actor
"The Town",2010,nm0000255,"Ben Affleck",actor
Ligalig,2006,nm0599004,"Cesar Montano",actor
"Grim Sweeper",2006,nm2464899,"Edward Valibus",actor
"Perfect Sport",2008,nm2557193,"Anthony O'Brien",actor
"Severed Ways: The Norse Discovery of America",2007,nm2708306,"Tony Stone",actor
"Orsova Noua 3: Toate Lucrurile Bune Se Sfarsesc!",2007,nm10953723,"Florin Calin",actor
"Doing the L.A. Thing",2007,nm1161188,"Jamie Burton-Oare",actress
"Gosht Lagna Nantarchi",2010,nm0219946,"Ramesh Deo",actor
"My First Movie",2010,nm11201866,"Nishanth Varma",actor
Remembrance,2002,nm0563339,"Vasilis Mazomenos",actor
"The End",2008,nm0873051,"Brent Triplett",actor
"In the Closet",2009,nm2684309,"Lamont A. Coleman",actor
Solitudo,2008,nm2837819,"Pino Borselli",actor
"Gratuitous Violence",2007,nm1342156,"Ray Daly Jr.",actor
Iyakkam,2008,nm7025570,"Sanjay Ram",actor
"Aaken mökkilaituri",2009,nm0436000,"Aake Kalliala",actor
"What Goes Around",2009,nm1272499,"Anders Matthesen",actor
"The Make Believers",2009,nm0028333,"Glenn Andreiev",actor
Sozusagen,2010,nm5391725,"Eric Watt",actor
"Ararat: 14 Views",2007,nm0039391,"Don Askarian",actor
WTF,2006,nm3283693,"Kyle Gehring",actor
"Me, Them and Lara",2009,nm0893872,"Carlo Verdone",actor
"The Peppermint Tree",2008,nm0583571,"Jud Meyers",actor
"A Perfect Game",2006,nm3236506,"Jim Finitsis",actor
"Mezi námi práteli",2006,nm3533543,"Vlado Stancel",actor
"Funeral Arrangements",2009,nm3525459,"Anwar Jamison",actor
Happythankyoumoreplease,2010,nm1102140,"Josh Radnor",actor
"The Exhibition",2009,nm1356247,"Lino Pujía",actor
"The Rise and Fall of Their American Dream",2010,nm1729066,"Nash Bhatt",actor
Ispansi!,2010,nm0407069,"Carlos Iglesias",actor
"Come Together Home",2009,nm3683911,"Ivy Lin",actor
"Double Down",2005,nm3718935,"Neil Breen",actor
Sketch,2010,nm0517528,"Christopher Logan",actor
Drifting,2010,nm3899612,"David Ludlow",actor
"Entre nous deux",2010,nm1923983,"Nicolas Guillou",actor
"Pirates: Quest for Snake Island",2009,nm1448482,"Brett Kelly",actor
"Twelve Night Sixty",2010,nm3968517,"David Missonnier",actor
"Spinning Southward",2010,nm3096367,"Nateon Ajello",actor
