primary_title,start_year,directors,primary_name,category
"Dying for Attention",2000,nm3145745,"J.L. Botelho",actor
"By EneMies",2008,nm6508596,"Mark K. Buddington",actor
"A Painter's Odyssey",2005,nm4175006,"Cory Trepanier",actor
"Bogg to the Future",2009,nm9324294,"Taylor Davis",actor
"Between Two Borders",2008,nm4359904,"Immanuel Degn",actor
"Angels Crest",2002,nm0184237,"J. Michael Couto",actor
"Seaside Seduction",2001,nm0178906,"Patrick Coppola",actor
"Now You Know",2002,nm0026879,"Jeff Anderson",actor
"Hatred of a Minute",2002,nm1009137,"Michael Kallio",actor
Strangers,2000,nm1023919,"Ramin Bahrani",actor
"Everybody Says I'm Fine!",2001,nm0097893,"Rahul Bose",actor
"West Bank Brooklyn",2002,nm1231312,"Ghazi Albuliwi",actor
"Detective Fiction",2003,nm0185401,"Patrick Coyle",actor
"Batas ng lansangan",2002,nm0688093,"Fernando Poe Jr.",actor
"The Ghost of Roger Casement",2002,nm0319690,"Alan Gilsenan",actor
"Just Another Story",2003,nm1240342,GQ,actor
"El día del retiro",2002,nm1351834,"Diego Shaalo",actor
Recoil,2001,nm1141859,"Jarek Kupsc",actor
"Fremds Land",2003,nm1338935,"Luke Gasser",actor
"Candy Von Dewd and the Girls from Latexploitia",2002,nm0102389,"Jacques Boyreau",actor
"Apri gli occhi e... sogna",2002,nm0259807,"Rosario Errico",actor
"Éber álmok",2000,nm1475537,"Gábor Szöllõskei",actor
"The Americans Are Coming, the Americans Are Coming!",2003,nm1603394,"Sheldon Collins",actor
"In the Blink of an Eye",2005,nm0004968,"Jaime Gomez",actor
"Madness in the First Degree",2008,nm1047485,"Geoff Searle",actor
"New Disguise",2005,nm0444011,"Johnny Kearns",actor
"Tyrannical Love",2005,nm2089899,"Scott Boswell",actor
"I Think I Love My Wife",2007,nm0001674,"Chris Rock",actor
"Hi Way",2006,nm1702333,"Jacek Borusinski",actor
"Farm Girl in New York",2007,nm1254811,"J. Robert Spencer",actor
"Slow Motion Addict",2007,nm2653840,"Jesse Davey",actor
"Colpo d'occhio",2008,nm0748207,"Sergio Rubini",actor
Fix,2008,nm0963103,"Tao Ruspoli",actor
"Iced Out",2004,nm3081791,"C.L. Woodson III",actor
"Letters to a Stranger",2007,nm1676074,"Fred Amata",actor
"Friends & Lovers: The Ski Trip 2",2008,nm1732965,"Maurice Jamal",actor
"Trail of Crumbs",2008,nm1128332,"Robert McAtee",actor
"No Problem",2008,nm0758033,"Vincenzo Salemme",actor
Take,2008,nm3232457,"Eric Bay-Andersen",actor
Schoof,2008,nm0004709,"Giuseppe Andrews",actor
"Portrait de ma mère poète",2009,nm0300397,"Jean-Noël Gobron",actor
"The Northern Street",2005,nm1634162,"Daniel Bolda",actor
"Sri Banashankari Matha",2010,nm11938676,"Hamsa Vijeth",actor
"Disco and Atomic War",2009,nm0453262,"Jaak Kilmi",actor
"The Way",2010,nm0000389,"Emilio Estevez",actor
"Going Nowhere",2006,nm4893788,"Patrick Cutler",actor
"Tangled Up in Blue",2009,nm3398984,"Haider Rashid",actor
"To Have & Have More",2009,nm3590500,"Tony Santona",actor
"Kun 1: Action",2009,nm3645007,"Haohao Wu",actor
"Case # 6",2009,nm2106271,"Josh Slater",actor
"C Red Blue J",2008,nm3738102,"Chris Sollars",actor
"So Close to Perfect",2009,nm0698913,"Jon Proudstar",actor
"Brothers Three",2010,nm2674102,"Sean Smith",actor
"The City Is Dark",2010,nm0696289,"Andrew Pressman",actor
"My Song for You",2010,nm4168150,Morgan,actor
"Shades of a Killer",2010,nm2704808,"Kemal Yildirim",actor
"Tsai stin Kopeghagi III: Anazitontas tous...",2004,nm3373711,"Yiannis Kolozis",actor
"Mondo Amanda",2004,nm2803727,"Joakim Lundgren",actor
"The Last October 7th",2010,nm5155650,"Johnny Blayz",actor
Revelations,2008,nm4674382,"Yaniv Aronson",actor
"Clear Red",2008,nm5371683,"Brandon Birch",actor
"Am I My Brother's Keeper?",2001,nm3770779,"Anthony B. Harris",actor
"The Hand of the Infinite",2004,nm6146168,"Pablo Pereda",actor
"Basanti Ki Shaadi Honeymoon Gabbar Ka",2002,nm1391675,"Harinam Singh",actor
"Doctor Who: Incursion",2009,nm5721075,"Steve Green",actor
"Ostittey Amar Desh",2007,nm4420574,"Khijir Hayat Khan",actor
"The Biggest Game in Town: Walter Burien-CAFR1",2000,nm4997091,"Walter Burien",actor
"Enrico Brignano: Tutto Quello Che Non Vi Ho Detto... A Ostia Antica",2010,nm0109253,"Enrico Brignano",actor
"Groom Lake",2002,nm0000638,"William Shatner",actor
"Bonne nouvelle",2001,nm0226398,"Vincent Dieutre",actor
"The Cuban Game",2001,nm0554532,"Manuel Martín Cuenca",actor
"Everything Together",2002,nm1092166,"Federico León",actor
"Il nostro matrimonio è in crisi",2002,nm0016263,"Antonio Albanese",actor
"Le ring intérieur",2002,nm0081946,"Dan Bigras",actor
"Duwag lang ang sumusuko",2001,nm1238309,"Baldo Marro",actor
"The Freediver",2004,nm0202810,"Alki David",actor
"The Baxter",2005,nm0795290,"Michael Showalter",actor
Rex-patriates,2004,nm0084147,"Nancy Bishop",actress
"Good Night, and Good Luck.",2005,nm0000123,"George Clooney",actor
"Hard Four",2007,nm0219430,"Charles Dennis",actor
"Bitter & Twisted",2008,nm1836996,"Christopher Weekes",actor
"Die Aufschneider",2007,nm0833735,"Carsten Strauch",actor
"The Groomsmen",2006,nm0122653,"Edward Burns",actor
"Arthur! A Celebration of Life",2005,nm1946346,"Joe James",actor
"Bred in the Bone",2006,nm0313743,"Stan Harrington",actor
"Senza paura",2000,nm1068809,"Stefano Calvagna",actor
"Amateur Porn Star Killer",2006,nm1546474,"Shane Ryan",actor
Appaloosa,2008,nm0000438,"Ed Harris",actor
Kabluey,2007,nm1099475,"Scott Prendergast",actor
Legit,2006,nm0093008,"James W. Boinski",actor
"Jupiter Love",2006,nm2376853,"Michael André",actor
"Last Stop for Paul",2006,nm0541896,"Neil Mandt",actor
"Ekipo Ja",2007,nm0616438,"Juan Muñoz",actor
"Severe Visibility",2007,nm0189237,"Paul Cross",actor
"U Me Aur Hum",2008,nm0222426,"Ajay Devgn",actor
"Out of Mind",2006,nm0400360,"Anne Hulegard",actress
"Half Blood Samurai",2008,nm1218352,"Jacky Woo",actor
"What on Earth Have I Done Wrong?!",2007,nm0633080,"Doze Niu",actor
Song,2007,nm1201906,"Antoine Barraud",actor
"Concrete Pillow",2008,nm1867729,"Fatih Haciosmanoglu",actor
Ekangi,2002,nm5758702,"V. Ravichandran",actor
"Postcards from Rome",2008,nm0059698,"Giulio Base",actor
"The Lost Nomads: Get Lost!",2009,nm1553277,"Ty Clancey",actor
Coma,2008,nm2349311,"R. Kan Albay",actor
"Flow Interrupt",2010,nm3665666,"Cosmo Midney",actor
"Dry Town",2006,nm1076009,"Marc Berlin",actor
"All for You",2009,nm3583561,"Larry Rosen",actor
"Maverick Mother",2008,nm0580686,"Janet Merewether",actress
"Evolusi: KL Drift 2",2010,nm3436850,"Syamsul Yusof",actor
"Jimmy Tupper vs. the Goatman of Bowie",2010,nm0101453,"Andrew Bowser",actor
"Through the Window",2009,nm3857625,"Maryam Vadjed Samiei",actor
Menschenliebe,2010,nm3865151,"Alexander Tuschinski",actor
"Et raadhus til alvor og fest",2010,nm0895321,"Nils Vest",actor
"The Rally",2010,nm4041410,"Rick Reyna",actor
"Breaking Man",2010,nm4042978,"Jeff Harris",actor
"When Hainan Meets Teochew",2010,nm1316286,"Yew Kwang Han",actor
23,2010,nm3168346,"Craig Deering",actor
Greenwashers,2010,nm4204502,"Bret Malley",actor
Provocation,2010,nm0785522,"Elías Serrano",actor
"The Red Winter Snow",2006,nm3779621,"Nathaniel Turner",actor
"The Forgotten Ground",2002,nm2502243,"Shaun Robert Smith",actor
"Dark Blood",2000,nm4451091,"Christopher Ambriz",actor
"Yard Sale The Movie",2005,nm1565455,"Wayne Mitchell",actor
Havelsoundz,2010,nm7826337,"Sylvia Swierkowski",actress
"Black & Blue: Concerning Faith, Love & BBQ",2004,nm3570463,"Kyle Merryman",actor
"Leo in the City",2010,nm8963086,"Benjamin Gan",actor
"The Lyin' King",2006,nm3236412,"Jason Gerbay",actor
"Phoenix Vice",2007,nm4569911,"Aaron Hudson",actor
"Acrobacias del corazón",2000,nm0176118,"María Teresa Costantini",actress
"Total Love",2000,nm0072996,"Gur Bentwich",actor
"Assassination Tango",2002,nm0000380,"Robert Duvall",actor
"Romeo & Juliet Revisited",2002,nm0142573,"N. Barry Carver",actor
Akasha,2001,nm1031296,"João Costa Menezes",actor
"The Reaper",2001,nm0599004,"Cesar Montano",actor
Cheeky,2003,nm0000667,"David Thewlis",actor
"Why Can't I Be a Movie Star?",2001,nm0626168,"Albert Nerenberg",actor
"Makamandag na bala",2000,nm1238309,"Baldo Marro",actor
"Subdivision, Colorado",2004,nm1382051,"Neil Widener",actor
"Happily Ever After",2004,nm0040939,"Yvan Attal",actor
"Frankie and Johnny Are Married",2003,nm0696309,"Michael Pressman",actor
"Locked Out",2006,nm0243355,"Albert Dupontel",actor
"Have Mercy",2006,nm0000870,"Kathy Bates",actress
"The Pirates Who Don't Do Anything: A VeggieTales Movie",2008,nm1007740,"Mike Nawrocki",actor
"Will to Power",2008,nm1116017,"David Rountree",actor
Road,2004,nm0046275,"Chang-ho Bae",actor
"The City of Violence",2006,nm0753423,"Seung-wan Ryoo",actor
"Petit Pow! Pow! Noël",2005,nm0605583,"Robert Morin",actor
Caramel,2007,nm1701024,"Nadine Labaki",actress
"Who Nose?",2006,nm2385153,"Zoe Haugo",actress
Leaf,2008,nm0139882,"Tim Carr",actor
"Missionary Man",2007,nm0000185,"Dolph Lundgren",actor
"Shooting Johnson Roebling",2007,nm2662778,"Christopher Burke",actor
"Sexus Dei",2007,nm0885188,"Philippe Vallois",actor
"Achilles and the Tortoise",2008,nm0001429,"Takeshi Kitano",actor
"Der Mann im Keller",2008,nm1179678,"André Schneider",actor
"Apollo 54",2007,nm3232494,"Giordano Giulivi",actor
"Our Pet, Ophelia",2009,nm3228614,"Scott Reardon",actor
"Lower Than the Angels",2006,nm2075456,"Russ Camarda",actor
"Solid Country Gold",2009,nm1923184,"Ronnie Gunter",actor
"Billy & Lilly Go to New York",2009,nm1711630,"Bill Maloney",actor
Cut,2010,nm2403079,"Dominic Burns",actor
"Plus 2",2002,nm11175745,Krithik,actor
Crushed,2008,nm0228851,"Ian Dixon",actor
Quitting,2010,nm3341798,"Chuck Meré",actor
"What Became of Us",2009,nm2645585,"Miika Ullakko",actor
"Blues of Life",2010,nm2143836,"Pablo Thomas",actor
"Deal with the Devil",2000,nm3563527,"Carlos Sagadia",actor
Pensil,2008,nm3622826,"M. Subash Abdullah",actor
"Good Clean Fun",2009,nm3144408,"Issa Diao",actor
"Care of Footpath",2009,nm3644857,"S.S. Kishan",actor
"TL-2: La felicidad es una leyenda urbana",2009,nm1412108,"Tetsuo Lumiere",actor
"Entertainer's Last Stand",2009,nm3708508,"Carlos Pagan",actor
"Black Fairy Tale",2005,nm0597380,"Alberto Momo",actor
"Harry's Judy",2009,nm3138241,"Richard Buonagurio",actor
Kookman,2008,nm3794564,"Tony Mason",actor
"The Love Potion",2010,nm2288948,"Danny Hastings",actor
"Ultimate Reality",2010,nm2252629,"Joe Giacobello",actor
"Mining for Change: A Story of South African Mining.",2010,nm0594539,"Eric Miyeni",actor
Jellyscream!,2008,nm4224315,"Clint Orr",actor
"Killer Squirrels",2008,nm3865151,"Alexander Tuschinski",actor
"Fighting Dreams",2003,nm2276572,"Drew Kochera",actor
"The Initiation of Alice in Wonderland: The Looking Glass of Lewis Carroll",2010,nm3032813,"Philip Gardiner",actor
"Pim-Pim Tché",2010,nm0644147,"Jean Odoutan",actor
"Starry Night Over Hollywood",2004,nm3874211,"Skender Beck",actor
"I Never Left the White Room",2000,nm1617216,"Michael Todd Schneider",actor
Torpor,2003,nm3498249,"João Paulo Simões",actor
"Belligerent Moose vs. The Army of Flesh Eaters",2010,nm3854936,"Mark Mackaye",actor
"Flaming Nipples",2008,nm2760588,"Gurcius Gewdner",actor
"Les Cathares",2008,nm5976843,"Guy Brunet",actor
"Aizome Kyôko vs. Kobayashi Hitomi hatsujô kurabe",2001,nm0014954,"Kyôko Aizome",actress
"The Dark Knight: Not So Serious",2009,nm7164011,"Jason Burgos",actor
"Get Faamous",2007,nm0262591,"Brian Asa Evans",actor
"Berlino: Il grande vuoto",2000,nm6815265,"Vincenzo Bugno",actor
"Una vita migliore",2007,nm6769999,"Fabio del Greco",actor
"No Good Men",2008,nm6102836,"Kevin Fredericks",actor
"Terminator: Absolution",2009,nm8094066,"Joseph Overton",actor
"Chikan byôtô",2002,nm0014954,"Kyôko Aizome",actress
Berluscoma,2010,nm2055755,"Marco Travaglio",actor
"House of Winds",2009,nm8994301,"Magnar Mikkelsen",actor
"Big Animal",2000,nm0836136,"Jerzy Stuhr",actor
"Le margouillat",2000,nm0316432,"Jean-Michel Gibard",actor
West,2000,nm0757548,"Corso Salani",actor
"You Got Nothin'",2002,nm0029721,"Philip Angelotti",actor
"Like an Airplane",2002,nm0685494,"Marie-France Pisier",actress
"Blood Work",2002,nm0000142,"Clint Eastwood",actor
"Under the Gun",2002,nm0063789,"Jesse Bean",actor
"Fat Pizza",2003,nm0271765,"Paul Fenech",actor
Machine,2007,nm1296186,"Michael Lazar",actor
"Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava",2007,nm0896760,"Silvana Vienne",actress
"Kung Fu Hustle",2004,nm0159507,"Stephen Chow",actor
Irangeles,2003,nm0445731,"Michael Keller",actor
Loverboy,2005,nm0000102,"Kevin Bacon",actor
"Our Nationhood",2003,nm0643446,"Alanis Obomsawin",actress
"The Only Sons",2003,nm1504783,"Xiao'er Gan",actor
"Jeremy Hardy vs. the Israeli Army",2003,nm1580751,"Leila Sansour",actress
"E.K.G. Expositus (die öffentlichen und die künstlerischen Medien)",2004,nm0117428,"Michael Brynntrup",actor
"Southern Justice",2006,nm1763869,"M.D. Selig",actor
"Muhammad and Jane",2003,nm1741741,"Usama Alshaibi",actor
"Cuando rompen las olas",2006,nm1202695,"Riccardo Gabrielli R.",actor
Sacrifice,2004,nm1955309,"Frankie Sooknanan",actor
Manô,2005,nm0271546,"George Felner",actor
Allegiance,2005,nm0317981,"Brian Gilbert",actor
"Last Hour",2008,nm0146428,"Pascal Caubet",actor
Interkosmos,2006,nm2171308,"Jim Finn",actor
"Damn Yankee Day",2006,nm1645391,"Robert Shupe",actor
"The Diary of Sacco and Vanzetti",2004,nm2209235,"David Rothauser",actor
"Sangue: La morte non esiste",2005,nm0211144,"Libero De Rienzo",actor
"Dough Boys",2008,nm0518385,"Louis Lombardi",actor
"L.A. Proper",2007,nm2564596,"Barry Canty",actor
"Cristóvão Colombo - O Enigma",2007,nm0210701,"Manoel de Oliveira",actor
Hamlet,2007,nm1427420,"Alexander Fodor",actor
"SMS - Sotto mentite spoglie",2007,nm0758033,"Vincenzo Salemme",actor
"Wonder Woman",2010,nm4603149,"Jennifer Corday",actress
Aadhaar,2004,nm9013111,"Shorya Veer Saagar",actor
"Torrente X: Operación Vinagra",2006,nm0021199,Torbe,actor
"Rose Colored Miles",2009,nm1508037,"Dan Lashley",actor
"Doppio - Dubble",2008,nm0018407,"Eric Alexander",actor
Refrain,2009,nm2699146,"Tyler Gibb",actor
"Tuck Bushman and the Legend of Piddledown Dale",2009,nm2335911,"Chris Lumb",actor
"Zombie Town: The Movie",2009,nm3412502,"Nicholas Aubrey",actor
"Zombie Dearest",2009,nm2288324,"David Kemker",actor
"Morristown: A Ballerina Love Story",2010,nm0305145,"Christo Garcia",actor
"The Cézanne Affair",2009,nm0748207,"Sergio Rubini",actor
"Years Apart",2005,nm3207867,"Christian Gavin",actor
"La déchirure 2: Parfait amour",2008,nm0071157,"Alphonse Beni",actor
Guerra,2003,nm2647632,"Pippo Delbono",actor
"A Child's Dream",2009,nm3619970,"Richard Widmack Belot",actor
"Budapest to Gettysburg",2007,nm1803743,"Jake Boritt",actor
Cheap,2005,nm1121649,"Brad Jones",actor
"Colorful Dead Things",2009,nm1796478,"Fabian Lapham",actor
"The Impossible Itself",2010,nm3985782,"Jacob Adams",actor
Glazed,2010,nm4165926,"Sam D.T. Lerner",actor
Super,2010,nm1962192,Upendra,actor
Rindido,2010,nm3421400,"Noriel M. Jarito",actor
"The Star",2006,nm2276572,"Drew Kochera",actor
"Pleasures of the Damned",2005,nm3091531,"Mark Leake",actor
"Deh Namaki-ha",2008,nm0013841,"Pegah Ahangarani",actress
"VIPs: Histórias Reais de um Mentiroso",2010,nm1039584,"Mariana Caltabiano",actress
"Roy 'n' the Rev",2003,nm0339472,"Mathew Greer",actor
"Lobby Bar",2010,nm5125987,"Gavin Goldsmith",actor
"Mom Never Dies",2007,nm0353863,"Myeong-jung Ha",actor
"Life Isn't Fair",2007,nm5788282,"Derrell Lawrence",actor
"Curse of Halloween",2006,nm3211271,"Jeremy Isbell",actor
Lifeless,2009,nm3755647,"Ralf Möllenhoff",actor
"Harry Gulkin: Red Dawn on Main Street",2004,nm2552777,"Nicola Zavaglia",actor
Calabrifornia,2008,nm5269839,"Priamo Greco",actor
"Swarg Aashram",2003,nm7536758,"Subodh Govil",actor
"The Woodland's Creature",2001,nm8370020,"Josiah Johnson",actor
"White Magic",2003,nm0237816,"Lisbeth Dreyer",actress
"A Head for Business",2000,nm0078100,"Guy-Philippe Bertin",actor
"Only in L.A.",2000,nm0191935,"Nur Nur Cummings",actor
"Last Ride",2001,nm0331443,"Jeremy Gosch",actor
"Elegy of a Voyage",2001,nm0812546,"Aleksandr Sokurov",actor
"August: A Moment Before the Eruption",2002,nm0595783,"Avi Mograbi",actor
"Wesh, Wesh, What's Happening?",2001,nm1140699,"Rabah Ameur-Zaïmeche",actor
"Blue Boy and Girl in Pink",2002,nm0300735,"Jason Gaffney",actor
"El buzón de los sueños",2002,nm1013184,"César Muñoz",actor
"Dear Korea",2001,nm1306547,"Talk Shin",actor
"The Good Shepherd",2006,nm0000134,"Robert De Niro",actor
"Seven to Midnight",2002,nm0553047,"Scott A. Martin",actor
"Casablanca Driver",2004,nm0058713,"Maurice Barthélémy",actor
Primer,2004,nm1503403,"Shane Carruth",actor
"Como perros de la calle",2002,nm0345185,"Josué Guadalupe",actor
"Love Is Eternal While It Lasts",2004,nm0893872,"Carlo Verdone",actor
"Polish Kitsch Project",2003,nm0700269,"Mariusz Pujszo",actor
"Tennis, Anyone...?",2005,nm0006610,"Donal Logue",actor
"Life on the Ledge",2005,nm1268772,"Lewis Helfer",actor
"Amidst the Gateway",2001,nm1654392,"Christopher S. Clark",actor
"Les liens",2004,nm1436583,"Aymeric Mesa-Juan",actor
Repetition,2005,nm0122036,"Dennis Burkley",actor
"A Taste of Jupiter",2005,nm0228053,"Derek Diorio",actor
"The Sun Also Rises",2007,nm0422638,"Wen Jiang",actor
"Chencho y su gran dote",2006,nm2258872,"Adam Jacobo",actor
"Surface Tension",2005,nm1325551,"Josh Czmowski",actor
"Collier & Co.",2006,nm0773884,"John Schneider",actor
"Before I Forget",2007,nm0634500,"Jacques Nolot",actor
"Why Didn't Anybody Tell Me It Would Become This Bad in Afghanistan",2007,nm0295826,"Cyrus Frisch",actor
"Jump Offs",2007,nm0799734,"Derrick Simmons",actor
"Mustang 65",2008,nm0189119,"Bill Cross",actor
"All for Melissa",2007,nm1435286,"Gerard Elmore",actor
"Black Devil Doll",2007,nm2832735,"Jonathan Louis Lewis",actor
"Dancing Alone",2007,nm2844085,"LeRoy A. Warner Jr.",actor
"Brothers gow",2010,nm4523892,"Rene Rivas",actor
"The Yellow House",2007,nm3063985,"Amor Hakkar",actor
"Mexican Gangster",2008,nm0152082,"Damian Chapa",actor
"Chasing the Shadows",2009,nm3201874,"Timothy Schultz",actor
"The Path of Torment",2009,nm1904992,"Gary C. Warren",actor
"The Waiting",2009,nm3227313,"Michael M. Brady",actor
"Gunslinger, P.I.",2008,nm3227541,"Greg Sisco",actor
"One Crazy Night",2006,nm2980879,"London Hilton",actor
Redhead,2007,nm3266568,"Jason Heinrich",actor
"Buskers Bounty",2009,nm3448797,"Philip Van Scotter",actor
Pimp,2010,nm0146917,"Robert Cavanah",actor
"Tsuma no kao",2009,nm3552109,"Akito Kawamoto",actor
"Me My Father and the Hurricane",2008,nm3133839,"Bayou Bennett",actress
Awaken,2009,nm3584333,"Jonah Aimz",actor
Action!!!,2010,nm0907788,"Hillary J. Walker",actress
"Gabi on the Roof in July",2010,nm1494818,"Lawrence Michael Levine",actor
"Lived Backwards",2009,nm2648621,"Raphaël Hébert",actor
"Sailing the Southern Ocean, Aboard the Bark Europa",2010,nm4034363,"Kevin Young",actor
"Sheriff of Contention",2010,nm1416521,"Thomas W. O'Mary",actor
"Gosht Choti Dongraevadhi",2009,nm0080426,"Nagesh Bhonsle",actor
"China... Thru' My Eyes!",2006,nm4730244,"G Surendra",actor
Crosshairs,2008,nm2978323,"Matthew Jasso",actor
"Konfargre, the Dark Brotherhood",2010,nm4043195,"Mihran Konanyan",actor
"Lived in July",2008,nm5545798,"Sean Cloutier",actor
"To Be Legendary",2003,nm2879977,"Stan Usherenko",actor
"Dead Moons",2002,nm6253740,"Ahcitz Azcona",actor
Imminence,2010,nm4989827,"Jonathon Kimble",actor
"The Way to Glory",2002,nm3375413,"Stefano Milla",actor
"Parizhskaya lyubov Kosti Gumankova",2004,nm3347957,"Konstantin Odegov",actor
"The Nike of Samothrace",2006,nm3613253,"Karen Teune",actress
"Jonson and Gonson",2001,nm0211602,"Roy de Silva",actor
"Marci X",2003,nm0000907,"Richard Benjamin",actor
"Big Apple",2002,nm1259726,"Danny Lerner",actor
Chance,2002,nm0072435,"Amber Benson",actress
"Angel Blade",2002,nm0372798,"David Heavener",actor
"The Lost Skeleton of Cadavra",2001,nm1117507,"Larry Blamire",actor
"H'artcore 1",2002,nm5250739,"Aguirre Morgenstern",actor
"Godzilla 2001",2001,nm1167913,"Montgomery Sutton",actor
"Criminal Ways",2003,nm0316318,"Nick Giannopoulos",actor
"Un petit cas de conscience",2002,nm0871779,"Marie-Claude Treilhou",actress
"Tortura Selvagem - A Grade",2001,nm0106308,"Affonso Brazza",actor
Virumandi,2004,nm0352032,"Kamal Haasan",actor
"True Brit",2003,nm1273268,"Kevin Ula Christie",actor
"The Payback Man",2010,nm0004677,"Ivan Rogers",actor
"Say Uncle",2005,nm0656739,"Peter Paige",actor
"O Quinze",2004,nm0210692,"Jurandir de Oliveira",actor
"No tan nuestras",2005,nm1252256,"Ramiro Longo",actor
Sévigné,2004,nm0050815,"Marta Balletbò-Coll",actress
"The Hole Story",2005,nm1493163,"Alex Karpovsky",actor
"Rittenhouse Square",2005,nm0002049,"Robert Downey Sr.",actor
"The Countess",2009,nm0000365,"Julie Delpy",actress
"A Dog's Breakfast",2007,nm0382110,"David Hewlett",actor
"Inside the Locket",2007,nm2570047,"Daniel Tadin",actor
"Road to Victory",2007,nm2140175,"Mike Reilly",actor
"Asa Mi Kay Gunha Kela",2010,nm5324425,"Anand Mhasvekar",actor
"Ta pu",2007,nm2726105,"Wei Wang",actor
"Johnny Got His Gun",2008,nm0430695,"Rowan Joseph",actor
"Faded Memories",2008,nm1728206,"Anne-Sophie Dutoit",actress
"Ven. Yin Shun",2005,nm6011518,"Roger Hsiao",actor
"The Big Wes",2009,nm1784231,"Damian Bailey",actor
"Vaginal Holocaust",2009,nm2480063,"Creep Creepersin",actor
"Bindas Hudugi",2010,nm11896195,"Priya Hassan",actress
Hikbi,2009,nm2562689,"Felbert P. Go",actor
Sathya,2010,nm11979032,"Kumar Govind",actor
"Why Did I Get Married Too?",2010,nm1347153,"Tyler Perry",actor
"A Billion Bucks",2004,nm3336183,"Grant MacDonald",actor
"The Disenchanted",2009,nm3594301,"Matt Williams",actor
"Ichiban Reggae Japan",2009,nm0743759,"R. Ross",actor
"World Without Women",2009,nm3669651,"Louis Palma",actor
"Andes Bicycle Expedition: A Crossing of the Bolivian Altiplano.",2006,nm3670135,"Yannick Daoudi",actor
"Silver & Gold",2010,nm2482938,"Nao Bustamante",actress
"File 25",2010,nm3817011,"Luke Baldwin-Smith",actor
"My Odd Days",2010,nm1347803,"Ben Wolfinsohn",actor
Message,2010,nm3405066,"Yat Fung Lee",actor
"In the Game: Modern Warfare",2010,nm2953756,"Bryon Evans",actor
Lycanthrope,2010,nm4014472,"Mark Berry",actor
Doglife,2010,nm4204668,"Dinos Theodosiou",actor
"Night of Redemption",2010,nm2339075,"Paolo Carascon",actor
"Dancing for You",2010,nm0746665,"Roland Rowinski",actor
"Solo Finding Peace",2010,nm4311430,"Joe Baxter",actor
"Sworn on the Altar",2001,nm2828879,"Desire Dubounet",actress
"UFOs 1973: Aliens, Abductions and Extraordinary Sightings",2010,nm4378729,"J. Michael Long",actor
"The Legend of Giagonan",2005,nm2821855,"Giagos Raftopoulos",actor
"Physics and the Pinewood Derby",2008,nm4719784,"Scott Acton",actor
"Rapporto di un regista su alcune giovani attrici",2008,nm0292365,"Roger A. Fratter",actor
"The Third Date",2003,nm4448348,"Dave Butts",actor
"Bharat Aala Parat",2007,nm3836224,"Vijay Gokhale",actor
"Ipotesi per un delirio",2005,nm2080770,"Flavio Sciolè",actor
Un33dHelp,2004,nm3582542,"JJ McMoon",actor
"Dirty Step Upstage",2009,nm1662547,"Amber Moelter",actress
"La Prigione Oscura",2007,nm8010668,"Salvatore Di Costanzo",actor
"Tu Ki Thanedaar Laggya",2006,nm1933346,"Sukhjinder Shera",actor
Benjamin,2010,nm6240672,"Fabricio Martin",actor
"The Book of Life",2010,nm5497315,"Marco Lui",actor
Freewheeling,2000,nm0758033,"Vincenzo Salemme",actor
"Horrible Accident",2001,nm0001614,"Lori Petty",actress
"Porn Theatre",2002,nm0634500,"Jacques Nolot",actor
"Denying Brazil",2000,nm1064633,"Joel Zito Araújo",actor
Loaves,2000,nm1073119,"Shannan Keenan",actress
"Volesse il cielo!",2002,nm0758033,"Vincenzo Salemme",actor
"Living with Mimi",2002,nm0429720,Jonte,actor
"Gangster Party",2002,nm1141083,"Ryan Combs",actor
"Undercover X",2001,nm0002396,"Scott Shaw",actor
Daybreak,2001,nm1208000,"Michael James Kacey",actor
"Moosa Khan",2001,nm0787030,"Shaan Shahid",actor
"Voodoo Girls",2003,nm1376068,"Thunska Pansittivorakul",actor
"Finding Electra",2003,nm1517973,"Chris Pickle",actor
"Bob Steel",2004,nm0003930,"Will Wallace",actor
"Randy and the Mob",2007,nm0571964,"Ray McKinnon",actor
Falling,2008,nm0244756,"Richard Dutcher",actor
"La memoria de los peces",2004,nm0814172,"Conrad Son",actor
"Nine Miles Down",2009,nm0909026,"Anthony Waller",actor
"The Disappearance of Jenna Matheson",2007,nm1229279,"AJ Wedding",actor
CJ7,2008,nm0159507,"Stephen Chow",actor
"A.k.a. Nikki S. Lee",2006,nm2551395,"Nikki S. Lee",actor
"The Bodyguard 2",2007,nm1002207,"Petchtai Wongkamlao",actor
"Vivien Leigh",2002,nm0114178,"Marcy Lafferty",actress
"Whose Shit Is This?",2006,nm2339119,"Donna R. Clark",actress
"Why Am I in a Box?",2010,nm2097751,"Rachel Grubb",actress
"Dead Fury",2008,nm2343360,"Frank Sudol",actor
"Opening Day",2009,nm0136301,"Tim Card",actor
"Report on the State of Man",2008,nm3182302,"Etienne Demers-Boyer",actor
"Through the Glass",2008,nm1760384,"Stephanie Linus",actress
"Niger: Living on the Edge of Survival",2006,nm3235805,"Dan Balluff",actor
"Kucuk Butce",2009,nm3428906,"Koray Balic",actor
"Que faire?",2009,nm1315309,"Pierre Méréjkowsky",actor
"Life with Ashley",2009,nm3520587,"Chris Butler",actor
"The Freebie",2010,nm1051221,"Katie Aselton",actress
