tconst,original_title,season_number,episode_number,num_votes
tt3866836,"High Sparrow",5,3,23430
tt2178814,"The Bear and the Maiden Fair",3,7,23463
tt2178772,"Dark Wings, Dark Words",3,2,23685
tt2069319,"Garden of Bones",2,4,23689
tt2074658,"The Ghost of Harrenhal",2,5,23863
